buyer_name_clean,ocid,level1,start_date,end_date,co2_pm
MINISTRY OF JUSTICE,ocds-0c46vo-0001-5b9d8593-cf58-4c3c-8999-bb0f4b1be382,Central Government,2020-11-16,2021-11-15,0.60739691563972602673
WATER SERVICES REGULATION AUTHORITY,ocds-0c46vo-0001-cff79b58-3cca-494f-9263-78cadbce3fef,Central Government,2020-11-16,2022-06-30,2.2216552922331081
DEPARTMENT OF HEALTH AND SOCIAL CARE,ocds-0c46vo-0001-327140fb-c12d-49e3-bf3d-07675c0c36a2,Central Government,2020-11-16,2021-11-30,8.086079585131579
NHS ENGLAND (DESIGNATED AS NHS COMMISSIONING BOARD),ocds-0c46vo-0001-42431a5c-32f1-4f96-a404-9bb77b52f5ad,Central Government,2020-11-16,2021-12-31,2.4475896652554745
NUCLEAR DECOMMISSIONING AUTHORITY,ocds-0c46vo-0001-e85a61a3-917f-4129-9536-e1b291fd3b1f,Central Government,2020-11-16,2021-11-15,0.07728050135753424649
MINISTRY OF JUSTICE,ocds-0c46vo-0001-d98003fa-d957-4511-a076-a0b18207c74f,Central Government,2020-11-16,2022-11-15,0.20500022465753424635
MINISTRY OF DEFENCE,ocds-0c46vo-0001-07e537a9-cf39-4b1d-bd0b-37535c93a243,Central Government,2020-11-16,2024-10-31,1.065382149560166
"DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",ocds-0c46vo-0001-6cfcbfdc-8ff4-4e78-a02a-aa4c0255129a,Central Government,2020-11-16,2024-11-15,0.08327638603696098557
NHS ENGLAND (DESIGNATED AS NHS COMMISSIONING BOARD),ocds-0c46vo-0001-0b9350ba-76fd-48ed-8f22-c0fdf480649b,Central Government,2020-11-16,2021-12-31,0.98911630091240876049
MET OFFICE,ocds-0c46vo-0001-5ca15573-f3f4-4b65-a0ed-978a8314c447,Central Government,2020-11-17,2021-11-30,0.01516822242744063325
MINISTRY OF JUSTICE,ocds-0c46vo-0001-b1da4d32-bbf9-49fa-862b-37eae545e28e,Central Government,2020-11-17,2021-11-16,1.9659396544520548
MET OFFICE,ocds-0c46vo-0001-c986429e-45a6-4e25-aaac-c84fc401e005,Central Government,2020-11-17,2021-11-24,0.16716953083109919525
HM REVENUE AND CUSTOMS,ocds-0c46vo-0001-ef8fd86e-c6bd-4a90-9bb0-4b4c12b966c1,Central Government,2020-11-17,2022-11-16,0.74441748246575342384
DEPARTMENT FOR BUSINESS ENERGY AND INDUSTRIAL STRATEGY,ocds-0c46vo-0001-2335f859-c9a3-4788-b40f-d948f45803bd,Central Government,2020-11-17,2022-11-17,4.1609712722298222
NHS ARDEN AND GREATER EAST MIDLANDS COMMISSIONING SUPPORT UNIT,ocds-0c46vo-0001-dfcae82c-b533-4e8a-a75e-b4df616b2d1e,NHS,2020-11-17,2025-11-15,0.50000054794520547974
HIGHWAYS ENGLAND,ocds-0c46vo-0001-f608631c-80b4-4494-8617-5d892bcd72be,Central Government,2020-11-17,2021-11-18,0.14615976893967302491
HM REVENUE AND CUSTOMS TAXES AND DUTIES,ocds-0c46vo-0001-ef8fd86e-c6bd-4a90-9bb0-4b4c12b966c1,Central Government,2020-11-17,2022-11-16,0.74441748246575342384
UK GOVERNMENT INVESTMENTS,ocds-0c46vo-0001-e4f2d928-4ace-4761-8354-3ad9b77133fe,Central Government,2020-11-17,2021-11-16,0.0352350386136986301
MINISTRY OF DEFENCE,ocds-0c46vo-0001-d1ef35e1-ffbc-47ac-bd6e-509c4695b63c,Central Government,2020-11-17,2024-11-16,1.0669786960985626
PUBLIC HEALTH ENGLAND,ocds-0c46vo-0001-48929e48-fd49-4992-a5da-9df88a6018d2,Central Government,2020-11-17,2024-11-16,0.18466505293141683767
LEIDOS SUPPLY,ocds-0c46vo-0001-5474602b-12a6-4f51-9c87-6d10ff985a07,Central Government,2020-11-18,2024-11-17,0.83276386036960985574
PUBLIC HEALTH ENGLAND,ocds-0c46vo-0001-99827d04-24e7-4c08-ab05-8e8863656f02,Central Government,2020-11-18,2021-11-17,0.27847450517720547915
MINISTRY OF DEFENCE,ocds-0c46vo-0001-7d4450e7-2a0b-48da-9233-5d01e90e6d1f,Central Government,2020-11-18,2021-11-30,0.13599000793650793627
UNITED LINCOLNSHIRE HOSPITALS NFT,ocds-0c46vo-0001-53cdf882-a7a4-40b9-af6b-6a8c1122376d,NHS,2020-11-18,2021-11-17,0.01448247420452054793
NDA SHARED SERVICES ALLIANCE,ocds-0c46vo-0001-1dd663d6-1cd5-472b-bf6e-1734dd087532,Central Government,2020-11-18,2022-11-15,0.73603358477060439649
NATIONAL PORTRAIT GALLERY,ocds-0c46vo-0001-ce377b21-50d2-4176-af0c-a1f31ba6268e,Central Government,2020-11-18,2023-03-22,0.17284156368421052618
MINISTRY OF HOUSING COMMUNITIES AND LOCAL GOVERNMENT,ocds-0c46vo-0001-78003642-7c84-48e6-92e0-a82a1029fe42,Central Government,2020-11-19,2022-03-31,0.15574816265060240935
DEPARTMENT FOR EDUCATION,ocds-0c46vo-0001-929844da-336a-43cd-9264-ddffeeeec0e2,Central Government,2020-11-19,2021-11-27,0.06063007981283422454
CROWN COMMERCIAL SERVICE,ocds-0c46vo-0001-0be58b62-ab55-44ac-81f3-5a697e18c835,Central Government,2020-11-19,2024-11-18,312.2864476386036959
DEPARTMENT OF HEALTH AND SOCIAL CARE,ocds-0c46vo-0001-961e303d-98d0-4f28-8d2e-fc4782c31645,Central Government,2020-11-19,2021-11-18,8.8167783288789041
DEPARTMENT FOR BUSINESS ENERGY AND INDUSTRIAL STRATEGY,ocds-0c46vo-0001-e95c6b8b-81df-4343-b20e-614e3736e9e4,Central Government,2020-11-19,2021-11-18,0.18050019780821917788
MINISTRY OF DEFENCE,ocds-0c46vo-0001-e3b11cb8-7a7b-44b9-bc72-bdd9a9e7d8b4,Central Government,2020-11-19,2021-09-28,0.55732693773248407875
NORFOLK AND NORWICH UNIVERSITY HOSPTIALS NHS FOUNDATION TRUST,ocds-0c46vo-0001-38d9e04a-bc82-4657-90a1-e5fb50789a1a,NHS,2020-11-20,2025-11-19,0.03847895783132530118
"DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",ocds-0c46vo-0001-d9a15de4-5cad-4b13-8bcf-cede24f6f98c,Central Government,2020-11-20,2023-11-18,1.1674563372943327
NHS ARDEN AND GREATER EAST MIDLANDS COMMISSIONING SUPPORT UNIT,ocds-0c46vo-0001-4396060d-ae84-4cb2-af0a-54e74fa5f24a,NHS,2020-11-20,2024-11-19,6245.7289527720739181
"DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",ocds-0c46vo-0001-9cadac45-6ca5-412d-8f79-a699f2e0fedf,Central Government,2020-11-20,2021-11-19,0.049796529571479452
DEPARTMENT OF HEALTH AND SOCIAL CARE,ocds-0c46vo-0001-528a3757-08a9-4466-971e-c120905064b1,Central Government,2020-11-20,2021-11-30,11.1778702949202128
HOME OFFICE,ocds-0c46vo-0001-bc79f3cf-ad33-42ec-a7e5-89a6241675ef,Central Government,2020-11-20,2022-11-19,0.29000031780821917776
FOREIGN AND COMMONWEALTH OFFICE,ocds-0c46vo-0001-1054a57e-285c-4d9c-a53d-b7913486ac03,Central Government,2020-11-20,2023-11-19,0.74627983172890410877
DEPARTMENT FOR BUSINESS ENERGY AND INDUSTRIAL STRATEGY,ocds-0c46vo-0001-7e340447-fd99-4011-b982-1cf05326e010,Central Government,2020-11-20,2021-11-19,17.916686301369863
"DEPARTMENT FOR CULTURE, MEDIA AND SPORT",ocds-0c46vo-0001-1d2e44ea-5371-439f-840b-fb95d9b323b8,Central Government,2020-11-20,2021-11-19,3.0000032876712329
DEPARTMENT FOR BUSINESS ENERGY AND INDUSTRIAL STRATEGY,ocds-0c46vo-0001-20d735bf-cf90-43df-9dbe-11dbc455e8a7,Central Government,2020-11-20,2021-11-19,17.916686301369863
NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ocds-0c46vo-0001-38d9e04a-bc82-4657-90a1-e5fb50789a1a,NHS,2020-11-20,2025-11-19,0.03847895783132530118
FOREIGN AND COMMONWEALTH OFFICE,ocds-0c46vo-0001-ac45bb8a-dbcc-4065-b312-3371d62dc857,Central Government,2020-11-21,2023-11-20,4.0088932821917808
FORESTRY COMMISSION,ocds-0c46vo-0001-71f9ed07-43aa-4d14-a436-98d4a48b7f9e,Central Government,2020-11-21,2024-11-11,5.8406976886363636
NATIONAL SAVINGS AND INVESTMENTS,ocds-0c46vo-0001-67a5cfd9-5b12-4746-911a-b1bd4edda210,Central Government,2020-11-21,2021-11-20,0.03666670684931506845
DEPARTMENT OF HEALTH AND SOCIAL CARE,ocds-0c46vo-0001-115a9a4b-4221-497c-a82a-56cfdd024b18,Central Government,2020-11-22,2021-09-30,0.61047191501597444211
MINISTRY OF JUSTICE,ocds-0c46vo-0001-fc2baabc-8b0c-48df-8d4f-fc1fb9222dfe,Central Government,2020-11-23,2021-11-22,0.12500013698630136973
OFFICE FOR STUDENTS,ocds-0c46vo-0001-4d0a2508-dfd8-49f0-86bf-0ddf4f5dd815,Central Government,2020-11-23,2021-11-22,0.01203119651819178081
DEPARTMENT OF HEALTH AND SOCIAL CARE,ocds-0c46vo-0001-461236bc-d916-4c01-b6e1-79e69a6c2798,Central Government,2020-11-23,2021-11-22,10.1504111237260274
"DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",ocds-0c46vo-0001-156cb0bc-7d67-48cb-bb5e-cebc8f4bcf88,Central Government,2020-11-23,2022-03-31,0.26112798522267206446
DEPARTMENT FOR EDUCATION,ocds-0c46vo-0001-de3e4c44-a2b2-4ba5-9ff0-f60d9a0788d6,Central Government,2020-11-23,2022-11-22,3.0000032876712329
HOME OFFICE,ocds-0c46vo-0001-0620f7e6-b0bf-457b-8c4b-e047acb906b1,Central Government,2020-11-23,2022-11-23,0.33189987352941176465
DEPARTMENT FOR BUSINESS ENERGY AND INDUSTRIAL STRATEGY,ocds-0c46vo-0001-2708133a-d635-4d29-83c2-8a85714b5810,Central Government,2020-11-23,2022-11-22,0.41666712328767123242
HM REVENUE AND CUSTOMS TAXES AND DUTIES,ocds-0c46vo-0001-86469f66-8523-4d87-9ead-93f01ea6f53c,Central Government,2020-11-23,2023-03-31,2.1245657741559953
"DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",ocds-0c46vo-0001-bce8b330-6078-4ace-bfa6-4b77b2a516fc,Central Government,2020-11-23,2022-11-22,2.2083357534246575
"DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",ocds-0c46vo-0001-aa194ecc-8723-4143-9d8d-e870aafae218,Central Government,2020-11-23,2022-03-31,0.33772411960214574858
HOMES ENGLAND,ocds-0c46vo-0001-a930d0dd-be59-441c-9eb1-1adcd2facdce,Central Government,2020-11-23,2022-04-01,30.3018231906060606
"DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",ocds-0c46vo-0001-f76e0247-9722-4ef6-9df9-192c3ec49fac,Central Government,2020-11-23,2024-11-22,0.02997949897330595481
HM REVENUE AND CUSTOMS,ocds-0c46vo-0001-86469f66-8523-4d87-9ead-93f01ea6f53c,Central Government,2020-11-23,2023-03-31,2.1245657741559953
MINISTRY OF HOUSING COMMUNITIES AND LOCAL GOVERNMENT,ocds-0c46vo-0001-6597dcf0-c05f-4163-8950-2cc4be330619,Central Government,2020-11-23,2022-02-22,0.51446154118161925432
DEPARTMENT FOR INTERNATIONAL TRADE,ocds-0c46vo-0001-769b1f49-f5c5-4eb5-b852-f17480036691,Central Government,2020-11-23,2022-11-22,1.6666684931506849
DEPARTMENT FOR EDUCATION,ocds-0c46vo-0001-77b59bd1-f047-47ad-a7fc-936e5262f805,Central Government,2020-11-23,2022-11-22,3.0000032876712329
DEPARTMENT OF HEALTH AND SOCIAL CARE,ocds-0c46vo-0001-90fd4f48-0fb2-4097-893e-e4f5b6c01823,Central Government,2020-11-23,2021-11-22,62.9225356227945205
MINISTRY OF DEFENCE,ocds-0c46vo-0001-64622f85-bb97-475d-99fe-f392f5180d81,Central Government,2020-11-23,2022-05-27,0.29883000080580762183
HIGHWAYS ENGLAND,ocds-0c46vo-0001-3bd66518-4b87-4433-829f-5d167d1c4c05,Central Government,2020-11-23,2022-03-31,0.09109171149983805657
UK RESEARCH AND INNOVATION,ocds-0c46vo-0001-7c1855f0-371a-444b-8bf2-6c00e9cba06d,Central Government,2020-11-23,2021-11-22,0.09843760787671232866
OFFICE OF RAIL AND ROAD,ocds-0c46vo-0001-1d016183-d133-4f02-b796-14116176b7f8,Central Government,2020-11-23,2021-11-22,0.16000017534246575325
DEPARTMENT OF HEALTH AND SOCIAL CARE,ocds-0c46vo-0001-7b531481-221e-4276-a7ea-2ef8a8c8bfc9,Central Government,2020-11-23,2021-11-21,321.7572032283791199
SPORT ENGLAND,ocds-0c46vo-0001-8748b799-4b1a-4f42-b7bd-b30fa5320b5f,Central Government,2020-11-24,2025-03-31,0.57384999954940214016
FOREIGN AND COMMONWEALTH OFFICE,ocds-0c46vo-0001-90a235fb-55f8-4be2-9ee5-8f9950430a09,Central Government,2020-11-24,2023-11-22,4.012557718464351
SPORT ENGLAND,ocds-0c46vo-0001-a64cc93f-9a3c-43a5-a098-7080077e8e56,Central Government,2020-11-24,2025-03-31,5.1788392237872876
LEEDS TEACHING HOSPITALS NFT,ocds-0c46vo-0001-94b7f2eb-5cc6-4e32-a525-01a707346ece,NHS,2020-11-24,2024-03-31,0.04384328742647058819
"DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",ocds-0c46vo-0001-07ec7c51-4c91-4b4c-bf20-554a213595c7,Central Government,2020-11-24,2021-11-23,0.03356253678082191777
NATIONAL EMPLOYMENT SAVINGS TRUST,ocds-0c46vo-0001-401cc5dc-989f-4068-bcf8-940f1cc4877c,Central Government,2020-11-24,2021-11-23,0.16333351232876712311
PUBLIC HEALTH ENGLAND,ocds-0c46vo-0001-bd480b8a-1216-4d14-abc1-36453e4a3aec,Central Government,2020-11-24,2022-01-23,0.21420211267605633734
DRIVER AND VEHICLE LICENSING AGENCY,ocds-0c46vo-0001-086b0d6a-de04-4f6f-a287-8ac218aea50c,Central Government,2020-11-24,2025-11-23,8.9548023078578642
MINISTRY OF DEFENCE,ocds-0c46vo-0001-669343b5-a486-44d1-8074-0e4b7bc035e7,Central Government,2020-11-24,2021-11-23,2.716752977260274
MINISTRY OF DEFENCE,ocds-0c46vo-0001-84d1b417-637c-4052-a0d1-4eb6531d62f1,Central Government,2020-11-25,2023-11-29,10.9425398777204727
HERTFORDSHIRE NHS PROCUREMENT,ocds-0c46vo-0001-288c49eb-0496-4b38-9cab-657d828717fc,NHS,2020-11-25,2024-11-24,0.06245728952772073918
SERIOUS FRAUD OFFICE,ocds-0c46vo-0001-7e92adb5-4d0e-44b9-8627-e2cbfe88779e,Central Government,2020-11-25,2022-11-24,0.03067711695205479449
FOREIGN AND COMMONWEALTH OFFICE,ocds-0c46vo-0001-493e9edc-c458-4037-b652-af02e6e4b50c,Central Government,2020-11-25,2023-11-24,9.2705657150684931
MINISTRY OF DEFENCE,ocds-0c46vo-0001-e1761d07-f0c9-421b-8fdf-f998ccebf788,Central Government,2020-11-25,2025-11-25,0.03489246496241379309
MET OFFICE,ocds-0c46vo-0001-f4b56d73-a6a2-41c1-ac1f-0f3c22898518,Central Government,2020-11-25,2021-11-26,0.14515479122615803853
NDA SHARED SERVICES ALLIANCE,ocds-0c46vo-0001-bd53a09a-f948-44fd-87a1-cc414d1e9372,Central Government,2020-11-25,2021-11-01,0.33298282105263157809
SCIENCE MUSEUM GROUP,ocds-0c46vo-0001-18635d77-001a-4ccf-939f-c42868d03658,Central Government,2020-11-25,2026-03-31,0.02803382488479262673
COMPETITION AND MARKETS AUTHORITY,ocds-0c46vo-0001-914e6d12-8d23-470f-b801-951b5eb19658,Central Government,2020-11-26,2021-11-25,0.02814586417808219175
DEPARTMENT FOR DIGITAL CULTURE MEDIA AND SPORT,ocds-0c46vo-0001-35ef3c87-59e5-4247-949c-86c04723deab,Central Government,2020-11-26,2021-10-31,0.42480499985294117746
"NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT",ocds-0c46vo-0001-a36f2096-1fea-43b8-9c04-6bb076b47990,NHS,2020-11-26,2021-11-25,0.07166257853424657526
BRITISH TRANSPORT POLICE,ocds-0c46vo-0001-876f4fb3-219f-4a57-b053-175a00908853,Central Government,2020-11-26,2025-11-25,0.01554691818775465497
"DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",ocds-0c46vo-0001-55dd7fed-7165-4d35-8897-bf06e024706b,Central Government,2020-11-26,2022-03-31,0.92016402604887983781
BRITISH TRANSPORT POLICE,ocds-0c46vo-0001-2c2e7f3f-1a8b-46f6-8764-a9fa4c40e223,Central Government,2020-11-26,2025-11-25,0.00472197779250821467
PUBLIC HEALTH ENGLAND,ocds-0c46vo-0001-113d9ef5-efbf-4e63-a135-03c89459c91f,Central Government,2020-11-26,2021-11-25,0.0682250747671232876
PUBLIC HEALTH ENGLAND,ocds-0c46vo-0001-e8bc23e1-8f93-4cf1-b213-7b99ea250e57,Central Government,2020-11-26,2021-11-25,0.16666684931506849297
OFFICE OF RAIL AND ROAD,ocds-0c46vo-0001-b6405766-5d32-47be-8874-8a09a16429d0,Central Government,2020-11-26,2021-11-25,0.02814586417808219175
FOLKESTONE & HYTHE DISTRICT COUNCIL,ocds-0c46vo-0001-ab564298-4877-4696-bbb7-684399ae90f8,NHS,2020-11-27,2022-01-31,0.04482581768561484908
"DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",ocds-0c46vo-0001-796eb06c-cd69-491a-a7e6-cfed69ee9883,Central Government,2020-11-27,2022-03-31,1.3801236213061224
"NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT",ocds-0c46vo-0001-ff4ff8b4-b989-4e63-83a6-41e841fff90d,NHS,2020-11-27,2021-11-26,0.11587512698630136974
DEPARTMENT OF HEALTH AND SOCIAL CARE,ocds-0c46vo-0001-97121164-ab52-4261-9d52-0f12defba8bb,Central Government,2020-11-27,2021-12-31,41.7316340769974999
DEPARTMENT OF HEALTH AND SOCIAL CARE,ocds-0c46vo-0001-2f0bf55e-0a2b-4613-9581-e42fe105684d,Central Government,2020-11-27,2021-11-27,0.25394553785901639364
CABINET OFFICE,ocds-0c46vo-0001-71f94bb2-d57f-4253-af03-190c487569df,Central Government,2020-11-27,2022-11-27,0.5617311217510259917
HIGHWAYS ENGLAND,ocds-0c46vo-0001-c6dd18ad-0ee1-4970-8d2b-8ccc3a260554,Central Government,2020-11-27,2021-11-30,0.2206187051882926825
DEPARTMENT FOR TRANSPORT,ocds-0c46vo-0001-beb15a64-6b98-4171-ac74-49444d89a57a,Central Government,2020-11-27,2021-11-26,0.45536049902465753375
NHS BUSINESS SERVICES AUTHORITY,ocds-0c46vo-0001-56ea8f1a-a7ab-4bef-9295-7c762ec2d2e3,Central Government,2020-11-27,2024-06-30,3.7297511114666616
MET OFFICE,ocds-0c46vo-0001-3c65b0d5-ab2e-4077-9d89-fe60a1ec2e43,Central Government,2020-11-27,2021-11-26,0.01250001369863013697
DEPARTMENT OF HEALTH AND SOCIAL CARE,ocds-0c46vo-0001-865b4460-738a-4e0b-8201-f025c58d9d57,Central Government,2020-11-27,2021-11-26,0.03541670547945205476
HM TREASURY,ocds-0c46vo-0001-244cbd95-0857-45d8-963f-8a977cb68550,Central Government,2020-11-27,2022-11-26,0.08356967491643835607
HOMES ENGLAND,ocds-0c46vo-0001-ed0b8025-daa0-4990-8b00-065392db0f0d,Central Government,2020-11-29,2022-05-31,0.14017167759562841541
HOMES ENGLAND,ocds-0c46vo-0001-c9bf18c6-9980-4347-ac32-b541dab59d31,Central Government,2020-11-29,2023-03-31,0.0340895254396248535
HOMES ENGLAND,ocds-0c46vo-0001-8a0aa7a2-dce6-46aa-9bc1-ac00fc25578f,Central Government,2020-11-29,2023-06-30,0.01367462656779661016
HULL AND EAST YORKSHIRE HOSPITALS NFT,ocds-0c46vo-0001-51389c4e-604c-4264-b62d-ba88e30fb597,NHS,2020-11-29,2023-11-30,0.27548158418231540569
DEPARTMENT FOR EDUCATION,ocds-0c46vo-0001-f183b3fa-88e4-4474-8a42-1406393823ce,Central Government,2020-11-30,2021-11-30,0.13438197786885245912
HOMES ENGLAND,ocds-0c46vo-0001-4fc226b9-500b-42d2-a21f-814fa7521f68,Central Government,2020-11-30,2027-09-30,0.19619746394230769227
NHS DIGITAL,ocds-0c46vo-0001-8c85f167-dc81-43e3-a5e4-6e4d5c5d0d31,Central Government,2020-11-30,2022-01-28,2.8627482352941177
UK RESEARCH AND INNOVATION,ocds-0c46vo-0001-fa0915ff-296a-4e0d-b356-2eec8c4e527c,Central Government,2020-11-30,2021-11-29,0.02127870665243835614
DRIVER AND VEHICLE LICENSING AGENCY,ocds-0c46vo-0001-046c4d56-9f81-4298-baa7-7dd7e65029fe,Central Government,2020-11-30,2021-11-29,0.44177046746482191732
THE NATIONAL ARCHIVES,ocds-0c46vo-0001-73e2f760-3f66-4b46-b350-96b30e6996ef,Central Government,2020-11-30,2021-11-29,0.03731341589136986297
DEPARTMENT OF HEALTH AND SOCIAL CARE,ocds-0c46vo-0001-de151e92-8127-4e6f-963b-1f09f9b30484,Central Government,2020-11-30,2021-12-31,38.0256865082115869
HM REVENUE AND CUSTOMS,ocds-0c46vo-0001-12d23a61-f6e1-46d9-ae4b-ba22ad894088,Central Government,2020-11-30,2022-11-29,0.31421078600687671198
INSOLVENCY SERVICE,ocds-0c46vo-0001-ea540c22-8b57-48d6-8c66-9214873bda47,Central Government,2020-11-30,2023-11-29,0.4378887298775342461
DEPARTMENT OF HEALTH AND SOCIAL CARE,ocds-0c46vo-0001-2fe4b31e-894c-43b3-929b-e25b35cacd63,Central Government,2020-11-30,2021-11-29,0.03100836731506849312
MINISTRY OF DEFENCE,ocds-0c46vo-0001-e6b3b0c5-e7b4-4406-a843-7231f093a355,Central Government,2020-11-30,2023-11-29,9.6197543088516164
DEPARTMENT FOR BUSINESS ENERGY AND INDUSTRIAL STRATEGY,ocds-0c46vo-0001-f4f9dd96-36d4-4130-99a1-9c6a71b4c784,Central Government,2020-11-30,2021-12-31,0.63556584932251889191
DEPARTMENT OF HEALTH AND SOCIAL CARE,ocds-0c46vo-0001-42800f38-180c-4fe2-ba7e-d904cf325173,Central Government,2020-11-30,2022-11-29,0.02763586361917808216
CROWN COMMERCIAL SERVICE,ocds-0c46vo-0001-f5ad0167-96e3-4dc8-b031-cf6c0e8da8c8,Central Government,2020-11-30,2022-03-31,3.122864476386037
"DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",ocds-0c46vo-0001-8c647bb4-32a8-422f-a057-79f0258095d3,Central Government,2020-11-30,2022-03-31,0.18737186858316221793
DEPARTMENT FOR WORK AND PENSIONS,ocds-0c46vo-0001-bf3e32d4-7559-47ab-89ae-440eb98aad4f,Central Government,2020-11-30,2021-12-31,4.5804255695969773
MINISTRY OF JUSTICE,ocds-0c46vo-0001-d1f4607e-4682-4623-adfb-364db71a6677,Central Government,2020-11-30,2022-04-30,0.11551874361702127657
HM REVENUE AND CUSTOMS TAXES AND DUTIES,ocds-0c46vo-0001-12d23a61-f6e1-46d9-ae4b-ba22ad894088,Central Government,2020-11-30,2022-11-29,0.31421078600687671198
CABINET OFFICE,ocds-0c46vo-0001-4088b1f6-377a-4569-9a48-62dbf4179362,Central Government,2020-11-30,2021-11-29,0.31335284339999999966
HEALTH EDUCATION ENGLAND,ocds-0c46vo-0001-64786c0a-98bb-4b00-9604-2dfda4548f89,Central Government,2020-11-30,2021-11-29,0.11278564860057534234
DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,ocds-0c46vo-0001-5f7f74ba-37c8-4538-acd8-c5fa7c27744e,NHS,2020-12-01,2024-11-30,0.00000104095482546201232
NHS ENGLAND (DESIGNATED AS NHS COMMISSIONING BOARD),ocds-0c46vo-0001-96fa0ac4-5a85-4d57-a902-fe07a2c7eaf2,Central Government,2020-12-01,2021-11-30,4.5212432881150685
UK RESEARCH AND INNOVATION,ocds-0c46vo-0001-d0838c3d-37f6-49a6-8ae4-13eafae52b3a,Central Government,2020-12-01,2021-12-01,0.06741973747745901645
MINISTRY OF DEFENCE,ocds-0c46vo-0001-817b7ae4-4d41-4e38-98a7-e173997a7980,Central Government,2020-12-01,2022-11-30,58.3979671977021369
HM LAND REGISTRY,ocds-0c46vo-0001-cb860a91-7118-476e-9377-81a0c72afe10,Central Government,2020-12-01,2024-11-30,0.0582934702258726899
MINISTRY OF JUSTICE,ocds-0c46vo-0001-fdc7eabf-6bb5-48ad-a9da-0d09bcec166e,Central Government,2020-12-01,2021-11-30,0.06227756824931506843
HM LAND REGISTRY,ocds-0c46vo-0001-435e7024-1120-48b2-95bb-10ba54124c0f,Central Government,2020-12-01,2022-11-30,0.07577758304383561636
UK RESEARCH AND INNOVATION,ocds-0c46vo-0001-f7a833c7-6670-4caa-a6bb-807b5137b276,Central Government,2020-12-01,2021-11-30,0.06930940095542465746
"DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",ocds-0c46vo-0001-e29cfe8d-ba14-4617-bc6c-354e4702bf6f,Central Government,2020-12-01,2022-11-30,0.11458345890410958892
DEPARTMENT FOR WORK AND PENSIONS,ocds-0c46vo-0001-f453b655-5535-4dd3-b744-8fc212648f27,Central Government,2020-12-01,2022-11-30,0.83333424657534246484
DEPARTMENT FOR EDUCATION,ocds-0c46vo-0001-203d1a5b-bec9-49a3-a5d1-9d73bd8f84ab,Central Government,2020-12-01,2022-11-30,3.0833367123287671
"DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",ocds-0c46vo-0001-c12960fb-1445-4023-baad-9ef1d2d1a7a9,Central Government,2020-12-01,2030-09-02,0.08454015719898961551
BRITISH TRANSPORT POLICE,ocds-0c46vo-0001-86dc5081-5819-4296-ad6a-cff5f6f68f9f,Central Government,2020-12-01,2021-11-30,0.0900000986301369862
MINISTRY OF JUSTICE,ocds-0c46vo-0001-a56bdbe9-a43b-429e-96ad-94e35c9b6036,Central Government,2020-12-01,2021-11-30,0.25108277515890410931
MINISTRY OF DEFENCE,ocds-0c46vo-0001-3874c8a0-bd56-4be8-9004-d1a3528e54d0,Central Government,2020-12-01,2023-11-30,0.61602567509589041028
MINISTRY OF JUSTICE,ocds-0c46vo-0001-7c702f53-591d-48e1-ba6c-94f8fb539bd1,Central Government,2020-12-01,2022-11-30,0.12000013150684931494
NUCLEAR DECOMMISSIONING AUTHORITY,ocds-0c46vo-0001-829d8c51-fab6-4f5b-8f99-6b766cb0589d,Central Government,2020-12-01,2021-11-30,0.67500073972602739652
HOMES ENGLAND,ocds-0c46vo-0001-0128314c-0287-4197-96f4-0ee3c0b19b76,Central Government,2020-12-01,2021-12-01,0.0349044098360655738
MINISTRY OF DEFENCE,ocds-0c46vo-0001-96513549-5e21-4230-87bc-dcb494ef3e4b,Central Government,2020-12-01,2021-11-30,78.2485857517808218
CABINET OFFICE,ocds-0c46vo-0001-1116e9aa-f42c-4341-86b1-757ba21e14b3,Central Government,2020-12-01,2021-11-30,0.06510007134246575335
DEPARTMENT FOR WORK AND PENSIONS,ocds-0c46vo-0001-426cb1fc-6a54-4707-ba63-0335e9c25c09,Central Government,2020-12-01,2022-11-30,1.2500013698630137
NHS ENGLAND (DESIGNATED AS NHS COMMISSIONING BOARD),ocds-0c46vo-0001-85096a75-177b-45d8-9f75-716ea5dae4c7,Central Government,2020-12-01,2022-06-30,18.951132842287695
